Player,Tm,Salary,Signed Using,Guaranteed,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Stephen Curry,GSW,43006362,Bird Rights,$88787328,PG,32.0,40.0,40.0,33.7,9.7,20.3,0.475,4.7,11.5,0.409,5.0,8.8,0.561,0.59,5.1,5.5,0.927,0.5,4.9,5.3,6.2,1.4,0.1,3.0,1.8,29.1,25.1,0.639,0.5660000000000001,0.268,1.5,15.2,8.4,32.7,1.9,0.2,11.7,32.6,3.8,1.5,5.3,0.18899999999999997,7.3,0.2,7.5,3.2
Russell Westbrook,WAS,41358814,Bird Rights,$85569960,PG,32.0,38.0,38.0,34.9,8.2,18.9,0.435,1.3,4.2,0.316,6.9,14.8,0.469,0.47,4.0,6.5,0.615,1.5,8.6,10.1,10.5,1.3,0.4,4.9,2.9,21.8,18.0,0.5,0.226,0.342,4.8,26.4,15.5,47.8,1.7,1.0,18.5,31.7,-0.6,1.6,0.9,0.032,1.7,0.0,1.7,1.3
Chris Paul,PHO,41358814,Bird Rights,$41358814,PG,35.0,44.0,44.0,31.9,6.0,12.5,0.48100000000000004,1.4,3.8,0.364,4.7,8.8,0.531,0.535,2.5,2.7,0.941,0.4,4.3,4.7,8.5,1.4,0.3,2.3,2.5,16.0,19.7,0.581,0.298,0.21600000000000003,1.4,14.5,8.2,38.7,2.2,0.7,14.7,22.3,3.4,2.1,5.5,0.183,2.3,1.3,3.6,2.0
John Wall,HOU,41254920,Bird Rights,$85565760,PG,30.0,32.0,32.0,31.8,7.2,17.9,0.4,1.9,6.1,0.318,5.2,11.8,0.442,0.45399999999999996,3.9,5.3,0.746,0.5,2.9,3.4,6.8,1.0,0.8,3.4,1.2,20.2,15.6,0.499,0.34,0.295,1.5,10.1,5.6,36.8,1.5,2.2,14.3,31.6,-0.7,0.9,0.2,0.008,1.3,-1.7,-0.4,0.4
James Harden,BRK,40824000,Bird Rights,$84672000,PG-SG,31.0,40.0,40.0,38.2,8.2,17.8,0.46299999999999997,2.9,8.1,0.36200000000000004,5.3,9.7,0.546,0.545,6.7,7.7,0.867,0.9,7.3,8.2,11.2,1.3,0.7,4.3,2.3,26.1,24.7,0.616,0.45399999999999996,0.435,2.6,20.6,11.9,44.6,1.6,1.7,16.7,28.9,5.1,1.6,6.7,0.21,6.2,0.4,6.6,3.3
LeBron James,LAL,39219565,Cap Space,$124875097,PG,36.0,41.0,41.0,33.9,9.5,18.4,0.513,2.4,6.5,0.368,7.1,12.0,0.5920000000000001,0.578,4.1,5.8,0.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4,24.7,0.605,0.35200000000000004,0.316,2.0,23.4,13.0,40.9,1.5,1.5,15.0,31.8,3.1,2.6,5.7,0.196,6.1,1.7,7.8,3.4
Kevin Durant,BRK,39058950,Sign and Trade,$79977850,PF,32.0,19.0,18.0,35.7,9.9,18.9,0.524,2.6,5.9,0.434,7.3,12.9,0.565,0.5920000000000001,6.6,7.6,0.8690000000000001,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29.0,25.4,0.652,0.315,0.40399999999999997,1.2,20.7,11.4,24.0,1.0,3.4,13.7,31.4,2.0,0.7,2.7,0.188,5.4,0.0,5.4,1.2
Paul George,LAC,35450412,Maximum Salary,$162928115,SF,30.0,36.0,36.0,33.5,8.0,16.9,0.473,3.2,7.5,0.426,4.8,9.4,0.51,0.568,3.3,3.8,0.882,0.9,5.4,6.3,5.5,1.1,0.5,3.2,2.3,22.5,21.0,0.607,0.445,0.22399999999999998,2.9,17.7,10.5,25.7,1.7,1.2,14.6,28.7,2.4,1.4,3.8,0.152,4.6,-0.4,4.1,1.9
Mike Conley,UTA,34504132,Cap Space,$34504132,PG,33.0,37.0,37.0,29.4,5.6,12.4,0.45,2.7,6.5,0.42100000000000004,2.8,5.9,0.48200000000000004,0.56,2.3,2.7,0.84,0.8,2.7,3.5,5.5,1.3,0.1,1.9,1.8,16.1,18.8,0.595,0.524,0.218,2.9,9.4,6.3,27.7,2.2,0.4,12.5,22.6,2.8,1.4,4.3,0.18899999999999997,3.1,0.3,3.4,1.5
Jimmy Butler,MIA,34379100,Sign and Trade,$70395300,SF,31.0,32.0,32.0,33.6,7.2,14.8,0.485,0.4,2.0,0.20600000000000002,6.8,12.8,0.528,0.499,6.8,7.9,0.85,2.1,5.6,7.7,7.3,1.9,0.4,2.3,1.4,21.5,26.1,0.588,0.133,0.5379999999999999,7.2,18.0,12.8,37.3,2.8,1.2,11.0,27.3,3.7,1.8,5.4,0.243,4.7,2.7,7.4,2.6
