Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa\achiupr01,PF,21,MIA,45,577,14.4,.562,.000,.543,11.2,20.0,15.7,6.6,1.3,4.2,14.7,19.5,,0.2,0.9,1.1,.092,-3.1,-0.5,-3.6,-0.2
2,Jaylen Adams\adamsja01,PG,24,MIL,7,18,-6.6,.125,.250,.000,0.0,17.0,8.8,12.8,0.0,0.0,0.0,18.6,,-0.1,0.0,-0.1,-0.249,-14.9,-5.0,-19.8,-0.1
3,Steven Adams\adamsst01,C,27,NOP,43,1210,15.6,.613,.013,.425,15.5,19.7,17.6,8.9,1.6,2.4,18.8,12.0,,2.0,0.9,2.9,.115,-0.1,-0.7,-0.8,0.4
4,Bam Adebayo\adebaba01,C,23,MIA,41,1384,23.0,.629,.013,.439,8.3,22.9,15.9,27.1,1.3,3.6,15.1,24.0,,3.7,2.2,5.9,.204,3.2,1.9,5.1,2.5
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,544,15.1,.545,.302,.149,3.2,15.2,9.1,10.2,0.7,2.9,7.0,22.8,,0.3,0.5,0.8,.072,-0.2,-1.0,-1.2,0.1
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,4,10,-13.6,.000,.500,.000,0.0,10.9,5.6,11.4,0.0,0.0,0.0,17.8,,-0.1,0.0,-0.1,-0.361,-18.0,-6.3,-24.3,-0.1
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,38,762,12.8,.527,.512,.129,1.5,15.1,8.4,14.0,2.3,2.2,12.2,22.5,,0.0,0.6,0.6,.040,-1.5,0.0,-1.4,0.1
8,Grayson Allen\allengr01,SG,25,MEM,32,775,13.0,.591,.656,.209,1.6,13.1,7.2,11.5,2.0,0.6,10.1,16.1,,0.9,0.9,1.8,.110,-0.2,0.6,0.3,0.5
9,Jarrett Allen\allenja01,C,22,CLE,44,1262,21.8,.676,.036,.655,11.8,26.9,19.3,9.0,0.8,5.2,13.3,16.9,,3.5,1.6,5.1,.194,2.2,0.1,2.3,1.4
10,Al-Farouq Aminu\aminual01,PF,30,CHI,18,379,9.6,.483,.356,.211,5.3,21.5,13.2,10.9,2.2,2.2,21.5,14.3,,-0.4,0.5,0.2,.022,-4.8,1.1,-3.7,-0.2
11,Kyle Anderson\anderky01,PF,27,MEM,42,1138,16.6,.579,.386,.255,2.8,19.8,11.0,17.4,2.1,2.3,11.3,18.7,,1.5,1.6,3.1,.131,1.1,1.4,2.5,1.3
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,43,1461,28.7,.622,.208,.533,5.7,28.9,17.6,30.0,1.6,3.3,13.7,32.7,,4.8,2.4,7.3,.239,6.0,2.5,8.5,3.9
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,6,26,6.1,.521,.000,1.000,8.8,33.5,21.4,0.0,3.7,10.2,51.0,19.7,,-0.1,0.1,-0.1,-0.099,-10.3,3.5,-6.8,0.0
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,34,335,12.7,.593,.217,.289,11.0,13.1,12.1,10.7,1.7,1.9,21.1,14.8,,0.3,0.4,0.7,.097,-1.9,0.0,-2.0,0.0
15,Carmelo Anthony\anthoca01,PF,36,POR,45,1169,14.7,.535,.387,.220,2.2,11.6,6.8,10.1,1.6,2.5,7.3,23.3,,1.0,0.4,1.4,.058,-0.5,-1.6,-2.1,0.0
16,Cole Anthony\anthoco01,PG,20,ORL,25,667,10.3,.469,.309,.204,3.0,14.6,8.6,21.7,1.2,1.6,14.8,22.3,,-0.7,0.6,-0.1,-0.006,-3.0,-1.1,-4.1,-0.4
