,,
Rk,Team,Overall
,,
1,Utah Jazz,35-11
2,Brooklyn Nets,32-15
3,Los Angeles Clippers,32-17
4,Philadelphia 76ers,32-15
5,Phoenix Suns,32-14
6,Los Angeles Lakers,30-17
7,Denver Nuggets,29-18
8,Milwaukee Bucks,29-17
9,Portland Trail Blazers,28-18
10,Charlotte Hornets,24-22
11,Dallas Mavericks,24-21
12,New York Knicks,24-23
13,Atlanta Hawks,23-24
14,Boston Celtics,23-24
15,Golden State Warriors,23-24
16,Miami Heat,23-24
17,San Antonio Spurs,23-21
18,Memphis Grizzlies,22-22
19,Sacramento Kings,22-25
20,Indiana Pacers,21-24
21,New Orleans Pelicans,21-25
22,Chicago Bulls,19-26
23,Oklahoma City Thunder,19-27
24,Toronto Raptors,18-29
25,Cleveland Cavaliers,17-30
26,Washington Wizards,17-29
27,Orlando Magic,16-31
28,Detroit Pistons,13-33
29,Houston Rockets,13-33
30,Minnesota Timberwolves,Nov-36
