,Rk,Team,Team_abb,Overall,Wins,Losses,Win%,Class
0,1,Utah Jazz,UTA,35-11,35,11,0.7608695652173914,Big
1,2,Brooklyn Nets,BRK,32-15,32,15,0.6808510638297872,Big
2,3,Los Angeles Clippers,LAC,32-17,32,17,0.6530612244897959,Big
3,4,Philadelphia 76ers,PHI,32-15,32,15,0.6808510638297872,Big
4,5,Phoenix Suns,PHO,32-14,32,14,0.6956521739130435,Small
5,6,Los Angeles Lakers,LAL,30-17,30,17,0.6382978723404256,Small
6,7,Denver Nuggets,DEN,29-18,29,18,0.6170212765957447,Big
7,8,Milwaukee Bucks,MIL,29-17,29,17,0.6304347826086957,Big
8,9,Portland Trail Blazers,POR,28-18,28,18,0.6086956521739131,Small
9,10,Charlotte Hornets,CHO,24-22,24,22,0.5217391304347826,Big
10,11,Dallas Mavericks,DAL,24-21,24,21,0.5333333333333333,Big
11,12,New York Knicks,NYK,24-23,24,23,0.5106382978723404,Big
12,13,Atlanta Hawks,ATL,23-24,23,24,0.48936170212765956,Big
13,14,Boston Celtics,BOS,23-24,23,24,0.48936170212765956,Small
14,15,Golden State Warriors,GSW,23-24,23,24,0.48936170212765956,Big
15,16,Miami Heat,MIA,23-24,23,24,0.48936170212765956,Big
16,17,San Antonio Spurs,SAS,23-21,23,21,0.5227272727272727,Big
17,18,Memphis Grizzlies,MEM,22-22,22,22,0.5,Big
18,19,Sacramento Kings,SAC,22-25,22,25,0.46808510638297873,Big
19,20,Indiana Pacers,IND,21-24,21,24,0.4666666666666667,Small
20,21,New Orleans Pelicans,NOP,21-25,21,25,0.45652173913043476,Big
21,22,Chicago Bulls,CHI,19-26,19,26,0.4222222222222222,Big
22,23,Oklahoma City Thunder,OKC,19-27,19,27,0.41304347826086957,Big
23,24,Toronto Raptors,TOR,18-29,18,29,0.3829787234042553,Big
24,25,Cleveland Cavaliers,CLE,17-30,17,30,0.3617021276595745,Big
25,26,Washington Wizards,WAS,17-29,17,29,0.3695652173913043,Small
26,27,Orlando Magic,ORL,16-31,16,31,0.3404255319148936,Big
27,28,Detroit Pistons,DET,13-33,13,33,0.2826086956521739,Small
28,29,Houston Rockets,HOU,13-33,13,33,0.2826086956521739,Small
29,30,Minnesota Timberwolves,MIN,11-36,11,36,0.23404255319148937,Small
